term,new_term,file
"domains","workloads","/app/src/content/docs/pt-br/pages/build-jornada/visao-geral/visao-geral.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/trabalhe-com-dominios/criar-certificado.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/trabalhe-com-dominios/apontar-dominio.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/trabalhe-com-dominios/configurar-dominio.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/trabalhe-com-dominios/migrar-ns.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/recursos-adicionais/migrar-para-a-azion/migrar-para-a-azion.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/ponto-de-partida/active-em-producao.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/secure/edge-firewall/digital-certificates.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/secure/edge-firewall/mtls.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/secure/edge-dns/edge-dns.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/digital-certificates.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/rules-engine-edge-app.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/domains/domains.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/domains/mtls.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/edge-application.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/servicos/technical-support.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/servicos/managed-configurations.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/contas/teams-permissions.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/referencia/observe/data-streaming/data-streaming.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/menu-principal/release-notes/release-notes.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/automatizar/integrar-siems.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/editar-edge-firewall/proteja-seu-dominio.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/editar-edge-firewall/editar-main-settings.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/editar-zona/editar-main-settings.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/proteja-aplicacao.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/transport-layer-security/digital-certificates.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/transport-layer-security/ciphers.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/secure-jornada/transport-layer-security/mtls.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/changelog/anos-passados/anos-passados-changelog.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/arquiteturas/edge-firewall/prevencao-fraude-online.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/arquiteturas/edge-application/image-processor.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/arquiteturas/edge-application/serverless-apps.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/arquiteturas/edge-application/application-modernization.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/store-jornada/storage/usar-bucket-como-origem.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/9-july-2025/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/29-august-2024/29-august-2024.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/15-march-2024/15-march-2024.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/24-may-2024/24-may-2024.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/25-november-2022/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/23-september-2022/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/3-march-2023/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/10-november-2020/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/8-november-2024/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/26-abril-2023/26-april-2023.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/18-setembro-2023/18-setembro-2023.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/18-august-2020/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/21-february-2024/21-february-2024.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/contratos/tos/10-november-2016/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/network-layer-protection/blacklists-ip-addresses-edge/criar-listas-bloqueio.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/data-streaming/associar-dominios.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/data-streaming/debug-functions-dts.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/debug-regras/debug-regras.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/edge-firewall/atualizar-edge-firewall.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/edge-dns/run-dig-command.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/acessar-azion-console/acessar-azion-console.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/scheduled-blocking.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/limit-payload.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/bot-manager-lite.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/waiting-room.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/add-request-id.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/ipqs.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/method-route-validator.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/send-event-endpoint.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/hcaptcha.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/radware-bot-manager.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/recaptcha.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/request-data-headers.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/jwt.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/cardstream.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/secure-token.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/rate-limit-with-penalty.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/bot-with-tor.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/mtls/configurar-mtls.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/edge-application/ea-configure-ports/custom-ports.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/edge-application/ea-request-lets-encrypt-certificates-via-api.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/edge-application/ea-requet-lets-encrypt-certificates.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/devtools/customizar-console-ui/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/guides.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/edge-storage/use-bucket-as-origin/index.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/guias/conhecendo-o-azion-console/conhecendo-o-azion-console.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/sdks/go-sdk/go-sdk.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/terraform/terraform.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/api-graphql/recursos/metrics-campos.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/azion-lib/usage/domains.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/configs/azion-config-js.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/comandos/describe/describe.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/comandos/update/update.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/comandos/delete/delete.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/comandos/create/create.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/comandos/list/list.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/integracoes/conector-standard-http-https-post.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/editar-stream/configure-main-settings.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/editar-stream/adicionar-payload.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/configuracoes-avancadas/configure-sampling.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/network-layer-protection/blacklists-ip-addresses-edge/create-blocklists.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/data-streaming/debug-functions-dts.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/data-streaming/associate-domains.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-functions/edge-functions-firewall.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/create-button/create-button.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/getting-to-know-azion-console/getting-to-know-azion-console.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-firewall/update-edge-firewall.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-dns/run-dig-command.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/scheduled-blocking.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/limit-payload.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/how-to-massive-redirection.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/request-data-into-header.mdx"
